e,Training loss,Validation loss
0,1.008397897430767,1.0027262296982198
1,0.4333768331629796,0.43310075568124357
2,0.4241411140837932,0.42384712993641827
3,0.4009015149438835,0.40056883642336516
4,0.3585847789848849,0.35822230587143283
5,0.30936926281409005,0.309020531422608
6,0.2674650214687768,0.26715251130460876
7,0.23537131227770958,0.2350942491299372
8,0.21028919334302298,0.21004212238915604
9,0.18968640148888236,0.18946519173713763
10,0.1720119624429158,0.1718143581350209
11,0.1566134654238939,0.15643825446182574
12,0.14344285658775555,0.14328827265800279
13,0.1323324767086476,0.1321955131296427
14,0.1227862462502482,0.1226634128769518
15,0.11430536641704349,0.1141935366197509
16,0.10654882621083944,0.1064456299948064
17,0.09934320129618415,0.09924695865893333
18,0.09262761941240208,0.09253712310015923
19,0.08638379597501908,0.08629818772858586
20,0.0805974361134097,0.0805161415399086
21,0.07524783183840747,0.07517048637535861
22,0.07030917700020196,0.07023554620858803
23,0.0657548908259908,0.06568480563433216
24,0.06156053160922281,0.06149384842949748
25,0.05770370897268011,0.057640295006843825
26,0.05416229923390199,0.05410203471162162
27,0.050913277258109305,0.05085606134867399
28,0.047933301373261655,0.04787905151500133
29,0.04520034101639421,0.04514898385229536
30,0.0426949311837301,0.0426463897715078
31,0.040400344460066975,0.040354526927676604
32,0.03830187581131155,0.03825866764349591
33,0.036385723780904,0.03634498382742472
34,0.03463786474688146,0.034599425274827685
35,0.0330432716121309,0.033006943527395576
36,0.03158580649558872,0.03155138997637888
37,0.03024888023912221,0.03021617843184066
38,0.029016556479933495,0.028985388024504448
39,0.027874553074436936,0.027844760002836266
40,0.02681076665951014,0.026782216813769917
41,0.02581529691966846,0.02578788223457832
42,0.024880164242458713,0.024853796930258305
43,0.0239989277302325,0.023973535989179985
44,0.023166327767579722,0.02314185191335025
45,0.022377998576887378,0.022354387927103904
46,0.0216302528603499,0.021607463384251416
47,0.020919925099186925,0.02089791771259704
48,0.02024425821946974,0.020222997575825834
49,0.01960082107403805,0.019580274717155986
50,0.01898744756260243,0.018967585335034454
51,0.01840219097913912,0.018382984607759875
52,0.017843289174181525,0.017824711977369175
53,0.017309137494717776,0.017291164172544008
54,0.016798267396278873,0.01678087387730421
55,0.016309329253088256,0.01629249257982739
56,0.015841078322629504,0.015824776563539405
57,0.015392363116919414,0.015376575296685284
58,0.014962115638367532,0.014946821680910645
59,0.014549343082134514,0.014534523762551174
60,0.014153120708886096,0.014138757611734724
61,0.013772585664731012,0.013758661146900318
62,0.013406931577777234,0.01339342873472687
63,0.01305540379916322,0.013042306433703474
64,0.012717295184820962,0.012704587777859879
65,0.012391942335403257,0.012379610018266212
66,0.012078722227868644,0.01206675075591688
67,0.011777049184493342,0.011765424911852555
68,0.011486372134626686,0.011475081989893677
69,0.011206172131993299,0.011195203594829155
70,0.010935960096320205,0.010925301174864632
71,0.010675274752884741,0.01066491396194543
72,0.010423680747475772,0.010413607087459545
73,0.010180766917509741,0.010170969854069779
74,0.00994614470269905,0.009936614147079203
75,0.009719446680927217,0.00971017297098772
76,0.009500325216852333,0.009491299098763844
77,0.00928845121236345,0.009279663822956698
78,0.009083512949370138,0.009074955799130925
79,0.008885215016547533,0.008876879973244968
80,0.008693277312641598,0.008685156585579445
81,0.008507434119805214,0.008499520244683945
82,0.008327433241121732,0.008319719065499094
83,0.008153035197116371,0.008145513866454564
84,0.007984012476592755,0.007976677420878387
85,0.007820148837579099,0.007812993758501854
86,0.0076612386545892,0.007654257513264822
87,0.007507086308724974,0.0075002733139475745
88,0.007357505617498981,0.007350855214507133
89,0.0072123193014868425,0.007205826161226953
90,0.007071358485170267,0.007065017494041705
91,0.006934462229553949,0.006928268479619128
92,0.006801477094326001,0.0067954258739684106
93,0.006672256727504446,0.006666343512518428
94,0.006546661480659588,0.006540881925755384
95,0.006424558047965065,0.006418907978672032
96,0.006305819127443392,0.006300294532395322
97,0.006190323102892135,0.006184920126478999
98,0.006077953745095329,0.0060726686804652204
99,0.005968599931028295,0.005963429213423995
